,word,frequency
2072,can't,162
718,highly,162
546,adds,162
2177,dried,161
1370,lighter,161
67,presence,160
2263,"pine,",160
918,certainly,159
221,drinkable,159
2534,ipa.,159
1746,actually,158
232,2016,158
1401,kind,157
2344,incredible,157
1067,inch,157
1263,i’m,157
157,real,156
1082,"mouthfeel,",156
261,smooth.,156
848,hype,156
2423,thing,155
239,"barrel,",155
2014,go,155
396,finally,155
2747,style.,155
1161,bubbles,154
844,version,154
789,brewery,154
3103,"apricot,",152
356,warming,152
2950,ale,152
2946,amber,152
291,"black,",151
549,lingers,151
886,made,151
3933,acidity,151
1572,4,150
865,tasting,150
254,"syrup,",150
1033,tasty,150
1747,apple,150
4255,fruit.,150
1451,far,150
218,i’ve,150
6216,"dry,",149
448,loads,149
326,cap,149
1642,dissipates,149
1769,enjoyable,148
193,expected,148
1014,palate.,148
1170,"flavor,",148
809,settles,148
657,12,148
2167,rather,148
226,mix,147
930,different,147
583,forward,146
1417,tasted,145
1976,",",145
907,truly,145
2626,piney,144
1724,tried,144
5471,trillium,144
236,toffee,144
688,quality,144
7057,"sour,",144
444,oily,143
13,bite,142
3403,yeast,142
1244,outstanding,142
570,"glass,",141
1890,16,141
1008,spice,140
49,"maple,",140
1187,"bottle,",140
4196,goes,139
2667,slowly,139
472,damn,139
1291,end.,138
1727,awesome,138
840,wish,138
1275,pepper,138
744,enjoy,138
1657,snifter.,137
4661,grape,137
2426,"nice,",137
1796,gets,137
3104,give,136
11,hot,136
628,balanced.,135
1262,"fudge,",135
273,mostly,135
582,"taste,",134
1085,surprisingly,134
423,"aroma,",134
1077,together,134
2371,3,133
1037,regular,133
1940,"here,",133
473,near,132
6759,citra,132
819,5,132
1738,"roast,",132
1030,warms,132
904,oak.,131
3368,candied,131
87,1,131
540,charred,130
520,sharp,130
458,"bitterness,",129
1404,pour.,129
3381,murky,129
230,class,129
774,especially,127
2213,feels,127
694,year,127
1844,away,126
2403,drinks,126
7044,"wine,",126
1390,feel.,126
2386,"papaya,",126
8032,"cherries,",126
3757,"juice,",126
10886,sourness,125
1322,quickly.,125
3445,--,125
238,wood,125
3301,depth,124
387,brew.,124
538,"flavors,",124
4235,"cherry,",124
1313,moderately,124
1378,although,123
1611,perhaps,123
200,hit,123
26,2019,123
1144,"stout,",123
513,wet,123
2023,hits,123
3494,oz.,122
997,average,122
2546,ipas,122
1292,ton,122
3255,served,122
2978,tangerine,121
189,day,121
3140,fine,121
2365,despite,121
2424,out.,121
5938,–,120
1691,point,120
2282,"juicy,",120
833,liquid,120
4645,typical,120
81,found,120
2380,"hazy,",120
3837,cream,119
1654,given,119
2382,classic,119
770,too.,118
4662,wild,118
2188,starts,118
2707,off-white,118
804,jet,118
2360,16oz,118
318,ruby,118
3214,hill,118
258,warm,117
579,always,117
553,viscous,117
1542,woody,117
985,l:,117
3767,pink,117
1824,done,117
696,things,116
1095,delicious.,115
548,aftertaste,115
3070,date,115
2592,straw,115
773,able,115
3468,mixed,115
1601,behind,114
3762,passion,114
2738,"soft,",114
2703,dated,114
1220,straight,113
1931,mellow,113
5758,"raisins,",112
2651,refreshing,112
1394,across,112
1983,initial,112
732,whole,111
2568,"this,",111
2015,bad,111
3983,rich,111
347,chewy,110
6961,funk.,110
367,add,110
1450,drink.,110
370,whiskey,110
3848,large,110
2338,can.,109
1286,snifter,109
1362,fudge,109
3599,juice.,109
1391,completely,108
3305,grassy,108
1520,time.,108
2654,"me,",108
580,thought,108
972,burn,108
1128,review,107
5603,ml,107
2131,unique,107
3721,prefer,106
1808,"licorice,",106
661,couple,106
1566,again.,105
1412,anything,105
1720,interesting,105
3099,"melon,",105
217,easily,105
1445,put,105
2436,expect,105
2501,lacing.s:,105
122,barrel.,105
5417,lambic,105
6887,"hay,",104
3258,syrupy,104
18,oil,104
831,short,104
2470,takes,104
6884,barnyard,103
901,"pour,",103
526,"earthy,",103
260,slick,103
666,came,103
687,least,102
1274,chili,102
299,"front,",102
2579,malt.,102
1025,massive,102
1190,since,102
6939,750ml,102
2339,ne,102
2650,citrus.,102
603,let,102
2289,next,102
2312,"dank,",101
148,rating,101
765,"raisin,",101
3165,lovely,101
3455,amazing.,100
323,fizzy,100
1382,sweeter,100
1239,expected.,100
512,oaky,100
98,middle,100
3309,bready,100
245,aftertaste.,99
4113,buy,99
903,plus,99
2669,mildly,99
609,12oz,99
711,second,99
2047,opens,99
213,great.,98
3058,citrusy,98
3136,bubbly,98
1543,caramel.,98
7073,"light,",98
1425,keep,97
2599,resinous,97
327,"retention,",97
103,close,97
2719,"honey,",96
2378,layer,96
2699,retention.,96
1501,"again,",96
2731,malts.,96
1740,rum,96
1091,reminds,96
2586,picked,95
425,seem,95
2901,delicate,94
280,start,94
1020,candy,94
3034,orange.,94
5464,"wood,",94
2232,fan,94
1889,beige,94
352,velvety,93
6924,lactic,93
3581,melon,93
994,"brown,",93
2404,west,93
615,don’t,93
341,cherries,93
1168,there.,93
813,three,92
1342,gives,92
581,prominent,92
1099,due,92
41,all.,92
1089,must,92
6883,"leather,",92
975,motor,92
1448,making,92
2727,"zest,",92
2260,"grass,",92
1875,experience,92
32,noticeable,91
45,layers,91
1032,"big,",91
5654,belgian,91
52,balance.,91
426,hype.,91
544,peppery,91
1028,warmth,91
1472,lace,90
613,espresso,90
2400,doesn’t,90
2734,there’s,90
1118,coats,90
3418,smooth,90
1219,way.,90
593,i'll,90
764,"bitter,",90
2608,tiny,89
2191,decadent,89
596,shared,89
562,"sticky,",89
2773,lime,89
2031,"feel,",89
7058,sour.,89
2363,days,88
574,"complex,",88
4085,dessert,88
2746,"palate,",88
2432,impressive,88
3124,foam.,88
5813,spotty,87
332,strong,87
5664,licorice,87
11065,brett,87
9,diacetyl,87
457,nutty,87
2853,towards,87
2935,"crisp,",87
2552,pine.,87
325,head;,86
185,draft,86
4604,blueberry,86
3113,sip.,86
1321,recedes,86
2677,pick,86
3527,"fruity,",86
2785,"lacing,",85
1689,"however,",85
2407,haze,85
1441,through.,85
1066,"great,",85
2473,rind,85
2259,cut,85
4132,"tobacco,",85
420,"dark,",85
4353,held,84
10097,mosaic,84
514,char,84
2139,pungent,84
2558,"style,",84
1436,aging,84
533,bottles,84
1384,compared,83
1212,leave,83
2004,"apple,",83
766,character.,83
2306,bitter.,83
2641,dipa,83
163,price,83
12328,saison,83
4292,"char,",82
2730,bread,82
3490,need,82
388,upon,82
2714,"floral,",82
2628,wheat,82
1838,american,82
4074,hidden,82
815,throughout,81
4438,a:,81
3241,standard,81
1670,cold,81
362,lasting,81
2594,topped,81
2255,"can,",80
6684,"guava,",80
566,round,80
1553,age,80
4414,2015,80
2100,trying,80
4187,2014,80
1073,oh,80
1488,happy,79
3923,pure,79
34,coating,79
5264,raisin,79
4331,better.,79
1589,smell.,79
1372,fruits.,79
1582,edge,79
697,immediately,79
3205,king,79
4947,aggressive,78
1246,beer!,78
3729,hf,78
2387,"rind,",78
2383,"ipa,",78
3663,fair,78
6544,musty,78
4451,"balanced,",78
3030,drinkable.,78
27,vintage.,78
1755,"too,",77
15299,barleywine,77
2881,bomb,77
2405,coast,77
282,carbonation,77
1926,sort,77
1990,fantastic.,76
3698,felt,76
3712,berry,76
4710,teku,76
1593,room,76
2916,line,75
2777,creamy,75
936,@,75
11718,farmstead,75
2158,added,75
455,"cream,",75
6685,galaxy,75
2102,special,75
811,"warms,",75
3383,soapy,75
1739,"spice,",75
303,/,75
612,black.,75
2292,exactly,75
8031,fruited,75
1656,profile.,75
1447,took,75
983,consumed,75
1527,is.,74
3287,hue,74
6583,example,74
1256,true,74
2258,"hoppy,",74
3576,orange,74
2280,england,74
6661,look:,74
1100,residual,73
4218,purchased,73
1284,part,73
729,that.,73
924,honestly,73
1753,tobacco,73
3766,gentle,73
1048,that’s,72
1365,rye,72
8310,dry.,72
2732,dryness,72
2891,reviewed,72
2690,weeks,72
275,others,72
5,work,72
1486,carb,71
1377,"character,",71
3125,"grape,",71
2806,more.,70
1948,though.,70
251,opened,70
3089,share,70
2742,believe,70
359,tongue.,70
1726,brandy,70
690,"is,",70
1169,experience.,70
1569,simply,70
1800,"brew,",70
1437,already,70
3595,darker,70
992,months,70
4519,hands,70
927,up.,69
1113,beers.,69
3654,treehouse,69
9865,coconut.,69
439,"one,",69
5511,toasty,69
2337,punch,69
4298,cellar,69
2877,grapefruit.,69
2525,"boozy,",69
3131,carbonated,69
2894,worthy,69
2336,resin,69
708,else,68
839,stuff,68
1492,barrel-aged,68
4672,shows,68
11433,porter,68
1211,reduces,68
7543,grass,68
1371,peppers,68
288,cake,68
1374,"full,",67
2398,alcohol.,67
569,bottom,67
2064,"way,",67
572,becomes,67
1830,loved,67
3885,bodied.,67
4667,"peel,",67
9608,vinous,67
1957,liked,67
1165,people,67
3405,tell,67
14319,—,67
6233,beautifully,66
7063,"funky,",66
1116,stouts.,66
416,crazy,66
3147,"clean,",66
740,"though,",66
1042,adding,66
9446,"fig,",65
1221,covered,65
1199,lives,65
6273,barely,65
3689,modest,65
3901,chocolate,65
2694,surprised,65
4425,"roasty,",65
2992,flavorful,65
3930,b,65
5839,nice.,65
1273,muted,65
301,"end,",65
307,zero,65
5747,"alcohol,",65
452,ice,64
1022,"medium,",64
3676,th,64
2839,pillowy,64
196,sticks,64
585,cloying,64
8108,"tartness,",64
1062,750,64
1614,relatively,64
2544,like.,64
845,tulip.,63
4426,"thin,",63
3950,thinner,63
1861,acidity.,63
110,"said,",63
2575,"bright,",63
1640,"abv,",63
12510,project,63
808,upfront,63
7048,cantillon,63
5946,hides,62
3801,type,62
11617,de,62
11982,lactose,62
1460,heat.,62
